city,rate,year
"Omaha city, NE",4.1,2013
"Honolulu County/city, HI",4.4,2013
"Oklahoma City city, OK",4.5,2013
"Austin city, TX",4.6,2013
"Minneapolis city, MN",4.6,2013
"Seattle city, WA",4.6,2013
"Tulsa city, OK",5,2013
"Virginia Beach city, VA",5.4,2013
"San Francisco County/city, CA",5.5,2013
"Raleigh city, NC",5.7,2013
"San Antonio city, TX",5.7,2013
"Houston city, TX",5.9,2013
"Nashville-Davidson (consolidated) city, TN",5.9,2013
"Fort Worth city, TX",6,2013
"Boston city, MA",6.1,2013
"Albuquerque city, NM",6.4,2013
"Dallas city, TX",6.4,2013
"Wichita city, KS",6.4,2013
"Columbus city, OH",6.5,2013
"Portland city, OR",6.5,2013
"Charlotte city, NC",6.6,2013
"Denver County/city, CO",6.6,2013
"Mesa city, AZ",6.7,2013
"Phoenix city, AZ",6.9,2013
"San Jose city, CA",7.2,2013
"Tucson city, AZ",7.2,2013
"El Paso city, TX",7.3,2013
"Jacksonville city, FL",7.3,2013
"Kansas City city, MO",7.3,2013
"Miami city, FL",7.4,2013
"Louisville-Jefferson County (consolidated) city, KY",7.5,2013
"San Diego city, CA",7.5,2013
"Colorado Springs city, CO",7.7,2013
"Indianapolis (consolidated) city, IN",8.5,2013
"Washington city, DC",8.5,2013
"Cleveland city, OH",8.8,2013
"New York city, NY",8.8,2013
"Atlanta city, GA",8.9,2013
"Oakland city, CA",8.9,2013
"Sacramento city, CA",9.4,2013
"Baltimore city, MD",9.7,2013
"Memphis city, TN",9.8,2013
"Chicago city, IL",10,2013
"Las Vegas city, NV",10,2013
"Milwaukee city, WI",10.1,2013
"Los Angeles city, CA",10.3,2013
"Philadelphia County/city, PA",10.3,2013
"Long Beach city, CA",10.6,2013
"Fresno city, CA",14.3,2013
"Detroit city, MI",18.9,2013
"Omaha city, NE",3.5,2014
"Austin city, TX",3.7,2014
"Minneapolis city, MN",3.8,2014
"Oklahoma City city, OK",3.9,2014
"Honolulu County/city, HI",4.1,2014
"Seattle city, WA",4.2,2014
"Tulsa city, OK",4.2,2014
"San Francisco County/city, CA",4.4,2014
"San Antonio city, TX",4.5,2014
"Raleigh city, NC",4.7,2014
"Denver County/city, CO",4.8,2014
"Houston city, TX",4.8,2014
"Columbus city, OH",4.9,2014
"Fort Worth city, TX",4.9,2014
"Virginia Beach city, VA",4.9,2014
"Nashville-Davidson (consolidated) city, TN",5,2014
"Boston city, MA",5.2,2014
"Charlotte city, NC",5.2,2014
"Dallas city, TX",5.3,2014
"Wichita city, KS",5.6,2014
"Portland city, OR",5.7,2014
"Mesa city, AZ",5.8,2014
"San Jose city, CA",5.8,2014
"Colorado Springs city, CO",5.9,2014
"El Paso city, TX",5.9,2014
"Louisville-Jefferson County (consolidated) city, KY",6,2014
"Phoenix city, AZ",6.1,2014
"San Diego city, CA",6.1,2014
"Albuquerque city, NM",6.2,2014
"Tucson city, AZ",6.4,2014
"Indianapolis (consolidated) city, IN",6.5,2014
"Jacksonville city, FL",6.6,2014
"Kansas City city, MO",6.9,2014
"Miami city, FL",6.9,2014
"New York city, NY",7.2,2014
"Oakland city, CA",7.2,2014
"Atlanta city, GA",7.7,2014
"Sacramento city, CA",7.7,2014
"Chicago city, IL",7.8,2014
"Cleveland city, OH",7.8,2014
"Washington city, DC",7.8,2014
"Milwaukee city, WI",7.9,2014
"Philadelphia County/city, PA",8.1,2014
"Las Vegas city, NV",8.2,2014
"Memphis city, TN",8.4,2014
"Baltimore city, MD",8.5,2014
"Los Angeles city, CA",8.7,2014
"Long Beach city, CA",9,2014
"Fresno city, CA",12.5,2014
"Detroit city, MI",16.1,2014
"Austin city, TX",3,2015
"Omaha city, NE",3.2,2015
"Honolulu County/city, HI",3.3,2015
"Minneapolis city, MN",3.4,2015
"San Francisco County/city, CA",3.6,2015
"Denver County/city, CO",3.7,2015
"Oklahoma City city, OK",3.7,2015
"San Antonio city, TX",3.7,2015
"Seattle city, WA",3.9,2015
"Tulsa city, OK",4,2015
"Columbus city, OH",4.1,2015
"Dallas city, TX",4.1,2015
"Fort Worth city, TX",4.1,2015
"Houston city, TX",4.3,2015
"Virginia Beach city, VA",4.3,2015
"Boston city, MA",4.4,2015
"Nashville-Davidson (consolidated) city, TN",4.4,2015
"Colorado Springs city, CO",4.5,2015
"Raleigh city, NC",4.6,2015
"El Paso city, TX",4.7,2015
"Portland city, OR",4.7,2015
"San Jose city, CA",4.7,2015
"Louisville-Jefferson County (consolidated) city, KY",4.8,2015
"Charlotte city, NC",4.9,2015
"San Diego city, CA",4.9,2015
"Wichita city, KS",5,2015
"Indianapolis (consolidated) city, IN",5.1,2015
"Mesa city, AZ",5.2,2015
"Phoenix city, AZ",5.3,2015
"Kansas City city, MO",5.7,2015
"New York city, NY",5.7,2015
"Albuquerque city, NM",5.8,2015
"Miami city, FL",5.8,2015
"Tucson city, AZ",5.8,2015
"Jacksonville city, FL",5.9,2015
"Oakland city, CA",5.9,2015
"Sacramento city, CA",6.3,2015
"Atlanta city, GA",6.5,2015
"Chicago city, IL",6.6,2015
"Cleveland city, OH",6.6,2015
"Milwaukee city, WI",6.6,2015
"Washington city, DC",6.9,2015
"Los Angeles city, CA",7,2015
"Memphis city, TN",7,2015
"Las Vegas city, NV",7.1,2015
"Philadelphia County/city, PA",7.1,2015
"Long Beach city, CA",7.2,2015
"Baltimore city, MD",7.5,2015
"Fresno city, CA",11.1,2015
"Detroit city, MI",11.8,2015
"Honolulu County/city, HI",2.8,2016
"Austin city, TX",3.1,2016
"Denver County/city, CO",3.1,2016
"Omaha city, NE",3.2,2016
"San Francisco County/city, CA",3.3,2016
"Minneapolis city, MN",3.4,2016
"Boston city, MA",3.5,2016
"Colorado Springs city, CO",3.6,2016
"Nashville-Davidson (consolidated) city, TN",3.6,2016
"Seattle city, WA",3.6,2016
"San Antonio city, TX",3.7,2016
"Dallas city, TX",4,2016
"Oklahoma City city, OK",4,2016
"San Jose city, CA",4,2016
"Virginia Beach city, VA",4,2016
"Portland city, OR",4.1,2016
"Columbus city, OH",4.2,2016
"Fort Worth city, TX",4.2,2016
"Indianapolis (consolidated) city, IN",4.5,2016
"Louisville-Jefferson County (consolidated) city, KY",4.5,2016
"Tulsa city, OK",4.5,2016
"Mesa city, AZ",4.6,2016
"Raleigh city, NC",4.6,2016
"San Diego city, CA",4.6,2016
"El Paso city, TX",4.7,2016
"Phoenix city, AZ",4.7,2016
"Wichita city, KS",4.8,2016
"Charlotte city, NC",4.9,2016
"Kansas City city, MO",4.9,2016
"Oakland city, CA",4.9,2016
"Houston city, TX",5,2016
"Jacksonville city, FL",5,2016
"Miami city, FL",5.2,2016
"New York city, NY",5.2,2016
"Tucson city, AZ",5.2,2016
"Los Angeles city, CA",5.3,2016
"Long Beach city, CA",5.4,2016
"Sacramento city, CA",5.5,2016
"Milwaukee city, WI",5.6,2016
"Albuquerque city, NM",5.8,2016
"Atlanta city, GA",5.8,2016
"Memphis city, TN",5.8,2016
"Las Vegas city, NV",6.1,2016
"Washington city, DC",6.1,2016
"Chicago city, IL",6.4,2016
"Baltimore city, MD",6.6,2016
"Philadelphia County/city, PA",6.8,2016
"Cleveland city, OH",7.1,2016
"Fresno city, CA",7.7,2016
"Detroit city, MI",10.7,2016
"Honolulu County/city, HI",2.2,2017
"Nashville-Davidson (consolidated) city, TN",2.7,2017
"Denver County/city, CO",2.8,2017
"Austin city, TX",2.9,2017
"San Francisco County/city, CA",2.9,2017
"Minneapolis city, MN",3.1,2017
"Colorado Springs city, CO",3.2,2017
"Omaha city, NE",3.2,2017
"San Jose city, CA",3.3,2017
"Boston city, MA",3.4,2017
"Seattle city, WA",3.4,2017
"San Antonio city, TX",3.5,2017
"Indianapolis (consolidated) city, IN",3.6,2017
"Portland city, OR",3.6,2017
"Virginia Beach city, VA",3.6,2017
"Dallas city, TX",3.8,2017
"Fort Worth city, TX",3.8,2017
"Oklahoma City city, OK",3.9,2017
"San Diego city, CA",3.9,2017
"Columbus city, OH",4.1,2017
"Jacksonville city, FL",4.2,2017
"Mesa city, AZ",4.2,2017
"Oakland city, CA",4.2,2017
"Raleigh city, NC",4.2,2017
"Kansas City city, MO",4.3,2017
"Phoenix city, AZ",4.3,2017
"Charlotte city, NC",4.4,2017
"El Paso city, TX",4.4,2017
"Louisville-Jefferson County (consolidated) city, KY",4.4,2017
"Wichita city, KS",4.4,2017
"New York city, NY",4.5,2017
"Tulsa city, OK",4.5,2017
"Milwaukee city, WI",4.6,2017
"Los Angeles city, CA",4.7,2017
"Miami city, FL",4.7,2017
"Sacramento city, CA",4.7,2017
"Tucson city, AZ",4.7,2017
"Houston city, TX",4.8,2017
"Long Beach city, CA",4.8,2017
"Memphis city, TN",4.8,2017
"Atlanta city, GA",5.2,2017
"Las Vegas city, NV",5.4,2017
"Albuquerque city, NM",5.5,2017
"Chicago city, IL",5.5,2017
"Baltimore city, MD",6.1,2017
"Washington city, DC",6.1,2017
"Philadelphia County/city, PA",6.2,2017
"Fresno city, CA",6.7,2017
"Cleveland city, OH",7.4,2017
"Detroit city, MI",9.3,2017
