Date,Max_TemperatureF,Mean_TemperatureF,Min_TemperatureF,AirPtCd,ID
8/1/2017,84,70,55,KBHB,1
8/2/2017,80,68,57,KBHB,1
8/3/2017,75,68,60,KBHB,1
8/4/2017,75,68,60,KBHB,1
8/5/2017,73,68,62,KBHB,1
8/6/2017,73,65,57,KBHB,1
8/7/2017,75,64,54,KBHB,1
8/8/2017,64,60,57,KBHB,1
8/9/2017,75,63,51,KBHB,1
8/10/2017,77,66,55,KBHB,1
8/11/2017,77,67,57,KBHB,1
8/12/2017,68,64,59,KBHB,1
8/13/2017,77,70,60,KBHB,1
8/14/2017,79,67,55,KBHB,1
8/15/2017,73,66,60,KBHB,1
8/16/2017,77,69,59,KBHB,1
8/17/2017,77,66,55,KBHB,1
8/18/2017,66,58,51,KBHB,1
8/19/2017,72,64,57,KBHB,1
8/20/2017,81,72,62,KBHB,1
8/21/2017,79,68,57,KBHB,1
8/22/2017,77,67,57,KBHB,1
8/23/2017,79,68,57,KBHB,1
8/24/2017,78,65,52,KBHB,1
8/25/2017,72,60,48,KBHB,1
8/26/2017,71,60,50,KBHB,1
8/27/2017,73,62,50,KBHB,1
8/28/2017,73,58,44,KBHB,1
8/29/2017,72,58,45,KBHB,1
8/30/2017,64,58,52,KBHB,1
8/31/2017,73,60,48,KBHB,1
8/1/2017,87,72,57,KBGR,2
8/2/2017,87,72,57,KBGR,2
8/3/2017,84,75,65,KBGR,2
8/4/2017,82,73,64,KBGR,2
8/5/2017,81,74,66,KBGR,2
8/6/2017,73,65,56,KBGR,2
8/7/2017,80,65,50,KBGR,2
8/8/2017,72,64,55,KBGR,2
8/9/2017,83,68,52,KBGR,2
8/10/2017,82,69,55,KBGR,2
8/11/2017,84,72,60,KBGR,2
8/12/2017,77,70,62,KBGR,2
8/13/2017,84,74,63,KBGR,2
8/14/2017,83,69,54,KBGR,2
8/15/2017,80,69,57,KBGR,2
8/16/2017,78,68,57,KBGR,2
8/17/2017,80,66,51,KBGR,2
8/18/2017,69,60,51,KBGR,2
8/19/2017,74,67,60,KBGR,2
8/20/2017,82,72,62,KBGR,2
8/21/2017,85,72,58,KBGR,2
8/22/2017,86,74,61,KBGR,2
8/23/2017,82,69,56,KBGR,2
8/24/2017,79,66,52,KBGR,2
8/25/2017,73,61,48,KBGR,2
8/26/2017,75,61,46,KBGR,2
8/27/2017,76,62,48,KBGR,2
8/28/2017,80,61,42,KBGR,2
8/29/2017,78,62,45,KBGR,2
8/30/2017,69,61,52,KBGR,2
8/31/2017,74,60,46,KBGR,2
8/1/2017,86,75,63,KPWM,3
8/2/2017,84,72,60,KPWM,3
8/3/2017,80,73,65,KPWM,3
8/4/2017,77,70,63,KPWM,3
8/5/2017,73,68,62,KPWM,3
8/6/2017,77,67,57,KPWM,3
8/7/2017,79,66,52,KPWM,3
8/8/2017,73,66,59,KPWM,3
8/9/2017,82,68,53,KPWM,3
8/10/2017,81,70,59,KPWM,3
8/11/2017,79,71,62,KPWM,3
8/12/2017,73,69,64,KPWM,3
8/13/2017,86,74,61,KPWM,3
8/14/2017,81,68,55,KPWM,3
8/15/2017,79,69,59,KPWM,3
8/16/2017,82,69,56,KPWM,3
8/17/2017,83,67,50,KPWM,3
8/18/2017,67,64,60,KPWM,3
8/19/2017,80,70,60,KPWM,3
8/20/2017,84,73,62,KPWM,3
8/21/2017,86,72,58,KPWM,3
8/22/2017,82,72,61,KPWM,3
8/23/2017,80,70,60,KPWM,3
8/24/2017,79,67,54,KPWM,3
8/25/2017,74,64,53,KPWM,3
8/26/2017,75,63,50,KPWM,3
8/27/2017,74,62,50,KPWM,3
8/28/2017,73,62,50,KPWM,3
8/29/2017,69,58,47,KPWM,3
8/30/2017,74,63,52,KPWM,3
8/31/2017,77,64,50,KPWM,3
8/1/2017,80,74,67,KBOS,4
8/2/2017,81,75,68,KBOS,4
8/3/2017,84,75,66,KBOS,4
8/4/2017,85,77,68,KBOS,4
8/5/2017,77,72,67,KBOS,4
8/6/2017,79,71,63,KBOS,4
8/7/2017,78,71,64,KBOS,4
8/8/2017,75,69,62,KBOS,4
8/9/2017,85,75,65,KBOS,4
8/10/2017,82,74,66,KBOS,4
8/11/2017,77,70,63,KBOS,4
8/12/2017,76,70,63,KBOS,4
8/13/2017,86,78,70,KBOS,4
8/14/2017,78,71,63,KBOS,4
8/15/2017,80,73,66,KBOS,4
8/16/2017,85,76,66,KBOS,4
8/17/2017,83,73,63,KBOS,4
8/18/2017,81,73,65,KBOS,4
8/19/2017,74,70,65,KBOS,4
8/20/2017,85,79,72,KBOS,4
8/21/2017,87,78,69,KBOS,4
8/22/2017,91,81,70,KBOS,4
8/23/2017,84,77,69,KBOS,4
8/24/2017,81,73,64,KBOS,4
8/25/2017,76,70,63,KBOS,4
8/26/2017,74,67,60,KBOS,4
8/27/2017,71,65,58,KBOS,4
8/28/2017,72,65,57,KBOS,4
8/29/2017,68,63,58,KBOS,4
8/30/2017,72,66,59,KBOS,4
8/31/2017,79,70,60,KBOS,4
8/1/2017,86,75,64,KPVD,5
8/2/2017,86,77,68,KPVD,5
8/3/2017,81,75,68,KPVD,5
8/4/2017,81,75,68,KPVD,5
8/5/2017,76,71,66,KPVD,5
8/6/2017,78,69,60,KPVD,5
8/7/2017,75,67,59,KPVD,5
8/8/2017,78,71,63,KPVD,5
8/9/2017,83,72,60,KPVD,5
8/10/2017,83,72,60,KPVD,5
8/11/2017,81,71,61,KPVD,5
8/12/2017,75,69,62,KPVD,5
8/13/2017,86,77,68,KPVD,5
8/14/2017,82,72,62,KPVD,5
8/15/2017,79,72,65,KPVD,5
8/16/2017,88,77,65,KPVD,5
8/17/2017,82,72,61,KPVD,5
8/18/2017,80,72,64,KPVD,5
8/19/2017,91,82,72,KPVD,5
8/20/2017,85,76,67,KPVD,5
8/21/2017,87,76,64,KPVD,5
8/22/2017,90,80,69,KPVD,5
8/23/2017,86,75,63,KPVD,5
8/24/2017,83,71,58,KPVD,5
8/25/2017,79,69,58,KPVD,5
8/26/2017,77,66,54,KPVD,5
8/27/2017,79,67,55,KPVD,5
8/28/2017,79,67,54,KPVD,5
8/29/2017,72,64,56,KPVD,5
8/30/2017,74,67,59,KPVD,5
8/31/2017,82,71,59,KPVD,5
8/1/2017,90,78,66,KMHT,6
8/2/2017,88,77,66,KMHT,6
8/3/2017,87,76,65,KMHT,6
8/4/2017,86,77,68,KMHT,6
8/5/2017,76,70,63,KMHT,6
8/6/2017,77,68,59,KMHT,6
8/7/2017,77,67,57,KMHT,6
8/8/2017,76,69,61,KMHT,6
8/9/2017,85,71,57,KMHT,6
8/10/2017,86,74,61,KMHT,6
8/11/2017,82,74,65,KMHT,6
8/12/2017,79,71,63,KMHT,6
8/13/2017,84,74,63,KMHT,6
8/14/2017,81,70,59,KMHT,6
8/15/2017,76,70,64,KMHT,6
8/16/2017,83,73,62,KMHT,6
8/17/2017,82,68,53,KMHT,6
8/18/2017,71,67,63,KMHT,6
8/19/2017,86,75,64,KMHT,6
8/20/2017,82,74,65,KMHT,6
8/21/2017,85,73,60,KMHT,6
8/22/2017,90,79,67,KMHT,6
8/23/2017,80,72,63,KMHT,6
8/24/2017,79,68,57,KMHT,6
8/25/2017,75,65,54,KMHT,6
8/26/2017,75,63,50,KMHT,6
8/27/2017,77,65,53,KMHT,6
8/28/2017,76,65,53,KMHT,6
8/29/2017,68,60,52,KMHT,6
8/30/2017,74,66,57,KMHT,6
8/31/2017,76,64,51,KMHT,6
8/1/2017,79,68,56,KMPV,7
8/2/2017,85,69,53,KMPV,7
8/3/2017,83,70,57,KMPV,7
8/4/2017,82,71,59,KMPV,7
8/5/2017,74,67,60,KMPV,7
8/6/2017,67,61,54,KMPV,7
8/7/2017,73,62,50,KMPV,7
8/8/2017,72,62,52,KMPV,7
8/9/2017,77,63,48,KMPV,7
8/10/2017,81,69,56,KMPV,7
8/11/2017,80,69,57,KMPV,7
8/12/2017,78,68,58,KMPV,7
8/13/2017,74,63,51,KMPV,7
8/14/2017,78,64,49,KMPV,7
8/15/2017,79,65,51,KMPV,7
8/16/2017,69,59,48,KMPV,7
8/17/2017,73,60,46,KMPV,7
8/18/2017,68,63,57,KMPV,7
8/19/2017,79,71,62,KMPV,7
8/20/2017,75,66,56,KMPV,7
8/21/2017,81,67,53,KMPV,7
8/22/2017,84,71,57,KMPV,7
8/23/2017,72,63,53,KMPV,7
8/24/2017,69,59,49,KMPV,7
8/25/2017,65,55,45,KMPV,7
8/26/2017,68,55,42,KMPV,7
8/27/2017,69,55,40,KMPV,7
8/28/2017,73,59,44,KMPV,7
8/29/2017,64,54,43,KMPV,7
8/30/2017,71,59,46,KMPV,7
8/31/2017,65,54,43,KMPV,7
8/1/2017,89,72,57,KCEF,8
8/2/2017,88,74,62,KCEF,8
8/3/2017,85,74,64,KCEF,8
8/4/2017,84,74,67,KCEF,8
8/5/2017,80,72,65,KCEF,8
8/6/2017,77,68,56,KCEF,8
8/7/2017,70,60,51,KCEF,8
8/8/2017,78,67,56,KCEF,8
8/9/2017,84,66,48,KCEF,8
8/10/2017,86,71,57,KCEF,8
8/11/2017,82,70,57,KCEF,8
8/12/2017,79,70,62,KCEF,8
8/13/2017,83,72,61,KCEF,8
8/14/2017,81,68,55,KCEF,8
8/15/2017,76,69,62,KCEF,8
8/16/2017,84,72,61,KCEF,8
8/17/2017,81,66,51,KCEF,8
8/18/2017,80,72,66,KCEF,8
8/19/2017,87,78,68,KCEF,8
8/20/2017,83,71,60,KCEF,8
8/21/2017,86,69,53,KCEF,8
8/22/2017,90,76,63,KCEF,8
8/23/2017,79,68,55,KCEF,8
8/24/2017,77,64,50,KCEF,8
8/25/2017,74,64,51,KCEF,8
8/26/2017,74,59,44,KCEF,8
8/27/2017,76,60,44,KCEF,8
8/28/2017,76,60,46,KCEF,8
8/29/2017,66,57,48,KCEF,8
8/30/2017,74,64,50,KCEF,8
8/31/2017,77,60,46,KCEF,8
8/1/2017,86,75,64,KHVN,9
8/2/2017,84,75,66,KHVN,9
8/3/2017,84,73,64,KHVN,9
8/4/2017,84,78,72,KHVN,9
8/5/2017,80,74,69,KHVN,9
8/6/2017,75,68,62,KHVN,9
8/7/2017,72,66,59,KHVN,9
8/8/2017,79,71,62,KHVN,9
8/9/2017,79,68,57,KHVN,9
8/10/2017,82,72,62,KHVN,9
8/11/2017,80,71,64,KHVN,9
8/12/2017,75,68,62,KHVN,9
8/13/2017,84,76,66,KHVN,9
8/14/2017,82,71,63,KHVN,9
8/15/2017,75,72,69,KHVN,9
8/16/2017,86,76,69,KHVN,9
8/17/2017,80,70,62,KHVN,9
8/18/2017,81,76,71,KHVN,9
8/19/2017,84,78,73,KHVN,9
8/20/2017,82,74,64,KHVN,9
8/21/2017,82,72,61,KHVN,9
8/22/2017,86,78,73,KHVN,9
8/23/2017,81,74,62,KHVN,9
8/24/2017,80,69,59,KHVN,9
8/25/2017,77,70,62,KHVN,9
8/26/2017,75,65,55,KHVN,9
8/27/2017,77,66,55,KHVN,9
8/28/2017,75,64,55,KHVN,9
8/29/2017,70,64,57,KHVN,9
8/30/2017,75,67,59,KHVN,9
8/31/2017,81,70,61,KHVN,9
8/1/2017,87,75,62,KALB,10
8/2/2017,85,75,64,KALB,10
8/3/2017,86,76,65,KALB,10
8/4/2017,84,77,70,KALB,10
8/5/2017,80,71,62,KALB,10
8/6/2017,76,65,54,KALB,10
8/7/2017,72,65,57,KALB,10
8/8/2017,80,69,58,KALB,10
8/9/2017,84,69,53,KALB,10
8/10/2017,85,73,60,KALB,10
8/11/2017,78,71,64,KALB,10
8/12/2017,81,72,63,KALB,10
8/13/2017,82,73,63,KALB,10
8/14/2017,79,68,57,KALB,10
8/15/2017,79,72,64,KALB,10
8/16/2017,83,72,60,KALB,10
8/17/2017,81,67,52,KALB,10
8/18/2017,77,74,71,KALB,10
8/19/2017,84,74,63,KALB,10
8/20/2017,81,72,63,KALB,10
8/21/2017,85,73,60,KALB,10
8/22/2017,89,79,68,KALB,10
8/23/2017,77,69,60,KALB,10
8/24/2017,75,66,56,KALB,10
8/25/2017,74,65,55,KALB,10
8/26/2017,73,61,49,KALB,10
8/27/2017,75,62,49,KALB,10
8/28/2017,75,63,50,KALB,10
8/29/2017,64,59,54,KALB,10
8/30/2017,77,66,54,KALB,10
8/31/2017,74,63,51,KALB,10
8/1/2017,92,82,71,KNYC,11
8/2/2017,86,78,69,KNYC,11
8/3/2017,87,78,68,KNYC,11
8/4/2017,84,77,69,KNYC,11
8/5/2017,78,74,69,KNYC,11
8/6/2017,76,70,64,KNYC,11
8/7/2017,71,68,64,KNYC,11
8/8/2017,78,72,65,KNYC,11
8/9/2017,85,75,64,KNYC,11
8/10/2017,83,76,68,KNYC,11
8/11/2017,82,76,69,KNYC,11
8/12/2017,77,71,64,KNYC,11
8/13/2017,83,77,71,KNYC,11
8/14/2017,80,75,70,KNYC,11
8/15/2017,74,71,68,KNYC,11
8/16/2017,87,79,70,KNYC,11
8/17/2017,83,76,69,KNYC,11
8/18/2017,82,78,73,KNYC,11
8/19/2017,86,80,73,KNYC,11
8/20/2017,81,75,69,KNYC,11
8/21/2017,87,79,71,KNYC,11
8/22/2017,89,81,72,KNYC,11
8/23/2017,81,76,70,KNYC,11
8/24/2017,80,73,65,KNYC,11
8/25/2017,78,71,63,KNYC,11
8/26/2017,78,70,62,KNYC,11
8/27/2017,78,71,63,KNYC,11
8/28/2017,76,70,63,KNYC,11
8/29/2017,68,66,64,KNYC,11
8/30/2017,78,69,60,KNYC,11
8/31/2017,81,73,64,KNYC,11
8/1/2017,91,80,69,KACY,12
8/2/2017,87,78,69,KACY,12
8/3/2017,85,76,66,KACY,12
8/4/2017,84,79,73,KACY,12
8/5/2017,82,73,63,KACY,12
8/6/2017,82,71,59,KACY,12
8/7/2017,76,72,67,KACY,12
8/8/2017,79,72,64,KACY,12
8/9/2017,83,72,61,KACY,12
8/10/2017,82,70,58,KACY,12
8/11/2017,82,72,61,KACY,12
8/12/2017,79,77,74,KACY,12
8/13/2017,87,76,65,KACY,12
8/14/2017,82,73,63,KACY,12
8/15/2017,77,74,71,KACY,12
8/16/2017,87,79,71,KACY,12
8/17/2017,85,76,67,KACY,12
8/18/2017,87,81,75,KACY,12
8/19/2017,89,82,74,KACY,12
8/20/2017,85,76,66,KACY,12
8/21/2017,85,73,61,KACY,12
8/22/2017,91,83,75,KACY,12
8/23/2017,84,76,67,KACY,12
8/24/2017,83,72,60,KACY,12
8/25/2017,81,70,58,KACY,12
8/26/2017,80,70,59,KACY,12
8/27/2017,78,67,56,KACY,12
8/28/2017,76,65,54,KACY,12
8/29/2017,70,69,68,KACY,12
8/30/2017,78,70,62,KACY,12
8/31/2017,86,76,65,KACY,12
8/1/2017,91,81,71,KPHL,13
8/2/2017,89,79,69,KPHL,13
8/3/2017,87,77,67,KPHL,13
8/4/2017,88,80,72,KPHL,13
8/5/2017,79,74,68,KPHL,13
8/6/2017,78,71,63,KPHL,13
8/7/2017,72,69,66,KPHL,13
8/8/2017,80,73,66,KPHL,13
8/9/2017,86,75,64,KPHL,13
8/10/2017,86,77,67,KPHL,13
8/11/2017,84,76,68,KPHL,13
8/12/2017,83,77,70,KPHL,13
8/13/2017,84,77,70,KPHL,13
8/14/2017,82,75,67,KPHL,13
8/15/2017,78,75,72,KPHL,13
8/16/2017,89,79,69,KPHL,13
8/17/2017,90,80,69,KPHL,13
8/18/2017,91,83,75,KPHL,13
8/19/2017,88,81,73,KPHL,13
8/20/2017,85,77,68,KPHL,13
8/21/2017,87,77,67,KPHL,13
8/22/2017,92,83,73,KPHL,13
8/23/2017,84,76,68,KPHL,13
8/24/2017,82,74,65,KPHL,13
8/25/2017,79,72,65,KPHL,13
8/26/2017,81,73,65,KPHL,13
8/27/2017,79,71,62,KPHL,13
8/28/2017,77,69,60,KPHL,13
8/29/2017,67,66,65,KPHL,13
8/30/2017,78,69,60,KPHL,13
8/31/2017,84,75,66,KPHL,13
8/1/2017,88,78,69,KDOV,14
8/2/2017,88,77,66,KDOV,14
8/3/2017,83,74,65,KDOV,14
8/4/2017,85,76,69,KDOV,14
8/5/2017,78,72,67,KDOV,14
8/6/2017,79,70,62,KDOV,14
8/7/2017,74,70,66,KDOV,14
8/8/2017,77,72,67,KDOV,14
8/9/2017,83,72,62,KDOV,14
8/10/2017,81,71,62,KDOV,14
8/11/2017,80,73,66,KDOV,14
8/12/2017,81,74,69,KDOV,14
8/13/2017,83,76,69,KDOV,14
8/14/2017,80,72,63,KDOV,14
8/15/2017,77,74,72,KDOV,14
8/16/2017,87,79,71,KDOV,14
8/17/2017,83,76,69,KDOV,14
8/18/2017,90,82,73,KDOV,14
8/19/2017,86,80,73,KDOV,14
8/20/2017,83,76,67,KDOV,14
8/21/2017,85,76,66,KDOV,14
8/22/2017,90,82,75,KDOV,14
8/23/2017,82,75,68,KDOV,14
8/24/2017,81,72,64,KDOV,14
8/25/2017,78,71,64,KDOV,14
8/26/2017,79,69,60,KDOV,14
8/27/2017,77,68,60,KDOV,14
8/28/2017,75,68,60,KDOV,14
8/29/2017,68,65,62,KDOV,14
8/30/2017,76,68,60,KDOV,14
8/31/2017,83,74,64,KDOV,14
8/1/2017,87,75,62,KAVP,15
8/2/2017,87,76,64,KAVP,15
8/3/2017,87,75,62,KAVP,15
8/4/2017,87,77,67,KAVP,15
8/5/2017,75,67,58,KAVP,15
8/6/2017,75,65,54,KAVP,15
8/7/2017,66,63,60,KAVP,15
8/8/2017,79,69,59,KAVP,15
8/9/2017,82,68,54,KAVP,15
8/10/2017,82,70,57,KAVP,15
8/11/2017,78,71,64,KAVP,15
8/12/2017,82,74,66,KAVP,15
8/13/2017,81,72,62,KAVP,15
8/14/2017,77,68,59,KAVP,15
8/15/2017,79,73,66,KAVP,15
8/16/2017,82,73,63,KAVP,15
8/17/2017,85,73,60,KAVP,15
8/18/2017,82,77,71,KAVP,15
8/19/2017,84,74,63,KAVP,15
8/20/2017,81,72,62,KAVP,15
8/21/2017,85,73,61,KAVP,15
8/22/2017,89,78,67,KAVP,15
8/23/2017,78,70,62,KAVP,15
8/24/2017,75,65,54,KAVP,15
8/25/2017,74,64,54,KAVP,15
8/26/2017,74,62,49,KAVP,15
8/27/2017,77,64,50,KAVP,15
8/28/2017,74,64,53,KAVP,15
8/29/2017,63,59,55,KAVP,15
8/30/2017,77,64,51,KAVP,15
8/31/2017,72,63,54,KAVP,15
8/1/2017,82,70,58,KART,16
8/2/2017,82,71,59,KART,16
8/3/2017,83,72,61,KART,16
8/4/2017,85,76,66,KART,16
8/5/2017,70,64,58,KART,16
8/6/2017,73,62,50,KART,16
8/7/2017,76,69,61,KART,16
8/8/2017,74,66,58,KART,16
8/9/2017,77,69,60,KART,16
8/10/2017,80,71,61,KART,16
8/11/2017,78,71,64,KART,16
8/12/2017,77,71,65,KART,16
8/13/2017,76,66,56,KART,16
8/14/2017,80,69,58,KART,16
8/15/2017,79,70,61,KART,16
8/16/2017,75,63,50,KART,16
8/17/2017,80,64,47,KART,16
8/18/2017,85,77,69,KART,16
8/19/2017,75,72,68,KART,16
8/20/2017,76,68,59,KART,16
8/21/2017,82,74,65,KART,16
8/22/2017,84,74,64,KART,16
8/23/2017,72,66,59,KART,16
8/24/2017,70,60,49,KART,16
8/25/2017,70,59,47,KART,16
8/26/2017,71,57,43,KART,16
8/27/2017,75,60,44,KART,16
8/28/2017,74,60,45,KART,16
8/29/2017,72,64,56,KART,16
8/30/2017,74,59,43,KART,16
8/31/2017,65,53,40,KART,16
8/1/2017,85,74,62,KSYR,17
8/2/2017,86,75,64,KSYR,17
8/3/2017,86,76,66,KSYR,17
8/4/2017,86,76,65,KSYR,17
8/5/2017,72,65,57,KSYR,17
8/6/2017,76,66,55,KSYR,17
8/7/2017,77,67,57,KSYR,17
8/8/2017,76,67,58,KSYR,17
8/9/2017,81,69,57,KSYR,17
8/10/2017,81,70,59,KSYR,17
8/11/2017,78,70,61,KSYR,17
8/12/2017,83,75,66,KSYR,17
8/13/2017,79,70,61,KSYR,17
8/14/2017,82,69,55,KSYR,17
8/15/2017,84,74,63,KSYR,17
8/16/2017,78,66,54,KSYR,17
8/17/2017,80,65,50,KSYR,17
8/18/2017,88,78,68,KSYR,17
8/19/2017,81,74,66,KSYR,17
8/20/2017,81,72,62,KSYR,17
8/21/2017,87,74,60,KSYR,17
8/22/2017,89,77,65,KSYR,17
8/23/2017,75,68,60,KSYR,17
8/24/2017,70,63,56,KSYR,17
8/25/2017,71,62,52,KSYR,17
8/26/2017,72,60,47,KSYR,17
8/27/2017,74,60,46,KSYR,17
8/28/2017,72,61,50,KSYR,17
8/29/2017,71,61,51,KSYR,17
8/30/2017,75,61,46,KSYR,17
8/31/2017,69,58,47,KSYR,17
8/1/2017,89,81,73,KDMH,18
8/2/2017,91,82,73,KDMH,18
8/3/2017,88,80,71,KDMH,18
8/4/2017,89,82,74,KDMH,18
8/5/2017,81,76,71,KDMH,18
8/6/2017,81,75,68,KDMH,18
8/7/2017,75,72,68,KDMH,18
8/8/2017,81,76,70,KDMH,18
8/9/2017,85,76,66,KDMH,18
8/10/2017,84,76,68,KDMH,18
8/11/2017,83,78,73,KDMH,18
8/12/2017,85,78,71,KDMH,18
8/13/2017,84,78,71,KDMH,18
8/14/2017,80,76,71,KDMH,18
8/15/2017,80,77,74,KDMH,18
8/16/2017,91,82,72,KDMH,18
8/17/2017,88,82,76,KDMH,18
8/18/2017,90,83,76,KDMH,18
8/19/2017,90,81,72,KDMH,18
8/20/2017,87,79,71,KDMH,18
8/21/2017,88,82,76,KDMH,18
8/22/2017,94,84,74,KDMH,18
8/23/2017,85,80,75,KDMH,18
8/24/2017,82,77,71,KDMH,18
8/25/2017,80,74,67,KDMH,18
8/26/2017,80,75,69,KDMH,18
8/27/2017,78,73,67,KDMH,18
8/28/2017,77,71,65,KDMH,18
8/29/2017,69,67,65,KDMH,18
8/30/2017,79,71,62,KDMH,18
8/31/2017,86,77,68,KDMH,18
8/1/2017,90,76,63,KOFP,19
8/2/2017,89,78,66,KOFP,19
8/3/2017,91,80,68,KOFP,19
8/4/2017,90,80,71,KOFP,19
8/5/2017,86,74,64,KOFP,19
8/6/2017,86,70,57,KOFP,19
8/7/2017,87,78,71,KOFP,19
8/8/2017,79,71,63,KOFP,19
8/9/2017,84,70,59,KOFP,19
8/10/2017,84,70,59,KOFP,19
8/11/2017,86,74,63,KOFP,19
8/12/2017,86,78,73,KOFP,19
8/13/2017,84,75,66,KOFP,19
8/14/2017,84,74,63,KOFP,19
8/15/2017,87,78,73,KOFP,19
8/16/2017,91,80,71,KOFP,19
8/17/2017,87,78,69,KOFP,19
8/18/2017,93,82,73,KOFP,19
8/19/2017,90,81,72,KOFP,19
8/20/2017,89,78,68,KOFP,19
8/21/2017,91,80,69,KOFP,19
8/22/2017,91,82,73,KOFP,19
8/23/2017,86,75,66,KOFP,19
8/24/2017,82,73,64,KOFP,19
8/25/2017,82,72,62,KOFP,19
8/26/2017,82,70,59,KOFP,19
8/27/2017,80,69,57,KOFP,19
8/28/2017,80,67,55,KOFP,19
8/29/2017,68,66,63,KOFP,19
8/30/2017,80,70,62,KOFP,19
8/31/2017,87,74,63,KOFP,19
8/1/2017,84,72,60,KILM,20
8/2/2017,89,77,64,KILM,20
8/3/2017,85,76,67,KILM,20
8/4/2017,85,79,73,KILM,20
8/5/2017,89,82,75,KILM,20
